"Station","Date","Time","Precip","type","Air_max","Air_min","obs","Wx","Wind_dir","speed","Bulb_wet","dry","Soil_max","Soil_min","Evap","Solar","ETo","RH _max","RH_min"
DAVIS.A,19820101,800,2.538,,11.1,0.6,,,,,,,,,,,,,
DAVIS.A,19820102,800,8.629,R,10.0,2.2,,,,,,,,,,,,,
DAVIS.A,19820103,800,0.000,,6.7,-1.1,,,,,,,,,,,,,
DAVIS.A,19820104,800,37.81,R,8.3,0.0,,,,,,,,,,,,,
DAVIS.A,19820105,800,64.97,R,9.4,3.3,,,,,,,,,,,,,
DAVIS.A,19820106,800,0.000,,7.2,0.6,,,,,,,,,,,,,
DAVIS.A,19820107,800,0.000,,8.3,-1.1,,,,,,,,,,,,,
DAVIS.A,19820108,800,0.000,,11.1,-3.3,,,,,,,,,,,,,
DAVIS.A,19820109,800,0.000,,12.8,-1.7,,,,,,,,,,,,,
DAVIS.A,19820110,800,0.000,,12.2,-3.3,,,,,,,,,,,,,
DAVIS.A,19820111,800,0.000,,13.9,-1.7,,,,,,,,,,,,,
DAVIS.A,19820112,800,0.000,,13.3,-1.1,,,,,,,,,,,,,
DAVIS.A,19820113,800,0.000,,8.3,-2.2,,,,,,,,,,,,,
DAVIS.A,19820114,800,0.254,R,7.8,-1.1,,,,,,,,,,,,,
DAVIS.A,19820115,800,0.254,R,9.4,2.2,,,,,,,,,,,,,
DAVIS.A,19820116,800,0.000,,4.4,1.7,,,,,,,,,,,,,
DAVIS.A,19820117,800,0.254,R,4.4,1.7,,,,,,,,,,,,,
DAVIS.A,19820118,800,0.000,,11.1,2.2,,,,,,,,,,,,,
DAVIS.A,19820119,800,1.269,,7.8,2.8,,,,,,,,,,,,,
DAVIS.A,19820120,800,8.883,R,7.2,3.9,,,,,,,,,,,,,
DAVIS.A,19820121,800,4.822,R,7.8,-0.6,,,,,,,,,,,,,
DAVIS.A,19820122,800,0.000,,8.3,-2.2,,,,,,,,,,,,,
DAVIS.A,19820123,800,0.000,,9.4,-0.6,,,,,,,,,,,,,
