Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,Precip,qc,Sol_Rad,qc,Vap_Pres,qc,Air_Temp,qc,Rel_Hum,qc,Wind_Speed,qc
6,Davis,Sacramento Valley,1/1/2016,0100,001,0.00, ,0, ,3.5, ,39.5, ,42, ,12.9, 
6,Davis,Sacramento Valley,1/1/2016,0200,001,0.00, ,0, ,3.3, ,39.2, ,40, ,14.1, 
6,Davis,Sacramento Valley,1/1/2016,0300,001,0.00, ,0, ,3.2, ,39.7, ,39, ,14.3, 
6,Davis,Sacramento Valley,1/1/2016,0400,001,0.00, ,0, ,3.1, ,39.5, ,38, ,14.7, 
6,Davis,Sacramento Valley,1/1/2016,0500,001,0.00, ,0, ,3.0, ,39.4, ,37, ,15.7, 
6,Davis,Sacramento Valley,1/1/2016,0600,001,0.00, ,0, ,3.0, ,38.8, ,38, ,14.2, 
6,Davis,Sacramento Valley,1/1/2016,0700,001,0.00, ,0, ,3.0, ,38.0, ,39, ,14.3, 
6,Davis,Sacramento Valley,1/1/2016,0800,001,0.00, ,32, ,3.0, ,37.6, ,39, ,13.0, 
6,Davis,Sacramento Valley,1/1/2016,0900,001,0.00, ,124, ,3.0, ,39.2, ,37, ,12.9, 
6,Davis,Sacramento Valley,1/1/2016,1000,001,0.00, ,307, ,3.0, ,40.5, ,35, ,13.6, 
6,Davis,Sacramento Valley,1/1/2016,1100,001,0.00, ,588, ,3.2, ,42.8, ,35, ,13.3, 
6,Davis,Sacramento Valley,1/1/2016,1200,001,0.00, ,813, ,3.5, ,45.1, ,34, ,13.0, 
6,Davis,Sacramento Valley,1/1/2016,1300,001,0.00, ,876, ,3.6, ,46.3, ,34, ,12.4, 
6,Davis,Sacramento Valley,1/1/2016,1400,001,0.00, ,734, ,3.8, ,47.0, ,34, ,10.3, 
6,Davis,Sacramento Valley,1/1/2016,1500,001,0.00, ,582, ,3.8, ,47.3, ,35, ,8.1, 
6,Davis,Sacramento Valley,1/1/2016,1600,001,0.00, ,407, ,4.1, ,47.3, ,37, ,7.0, 
6,Davis,Sacramento Valley,1/1/2016,1700,001,0.00, ,85, ,4.1, ,45.0, ,41, ,4.0, 
6,Davis,Sacramento Valley,1/1/2016,1800,001,0.00, ,1, ,4.2, ,42.5, ,46, ,2.0, 
6,Davis,Sacramento Valley,1/1/2016,1900,001,0.00, ,0, ,4.4, ,38.1, ,56, ,1.0,I
6,Davis,Sacramento Valley,1/1/2016,2000,001,0.00, ,0, ,4.5, ,34.6, ,66, ,1.7, 
6,Davis,Sacramento Valley,1/1/2016,2100,001,0.00, ,0, ,4.4, ,32.6, ,70, ,1.3, 
6,Davis,Sacramento Valley,1/1/2016,2200,001,0.00, ,0, ,4.2, ,33.8, ,64, ,2.0, 
6,Davis,Sacramento Valley,1/1/2016,2300,001,0.00, ,0, ,4.1, ,32.8, ,64, ,2.0, 
6,Davis,Sacramento Valley,1/1/2016,2400,001,0.00, ,0, ,4.2, ,33.5, ,64, ,2.6, 
6,Davis,Sacramento Valley,1/2/2016,0100,002,0.00, ,0, ,4.2, ,35.7, ,59, ,3.2, 
6,Davis,Sacramento Valley,1/2/2016,0200,002,0.00, ,0, ,4.2, ,35.6, ,60, ,6.2, 
6,Davis,Sacramento Valley,1/2/2016,0300,002,0.00, ,0, ,4.1, ,35.9, ,57, ,4.7, 
6,Davis,Sacramento Valley,1/2/2016,0400,002,0.00, ,0, ,4.2, ,36.0, ,59, ,4.9, 
6,Davis,Sacramento Valley,1/2/2016,0500,002,0.00, ,0, ,4.1, ,38.3, ,53, ,7.8, 
6,Davis,Sacramento Valley,1/2/2016,0600,002,0.00, ,0, ,4.2, ,38.6, ,53, ,5.4, 
6,Davis,Sacramento Valley,1/2/2016,0700,002,0.00, ,0, ,3.9, ,39.2, ,48, ,6.9, 
6,Davis,Sacramento Valley,1/2/2016,0800,002,0.00, ,7, ,3.7, ,39.6, ,45, ,8.1, 
6,Davis,Sacramento Valley,1/2/2016,0900,002,0.00, ,67, ,3.8, ,39.7, ,46, ,9.0, 
6,Davis,Sacramento Valley,1/2/2016,1000,002,0.00, ,150, ,4.0, ,40.2, ,47, ,8.8, 
6,Davis,Sacramento Valley,1/2/2016,1100,002,0.00, ,236, ,4.0, ,41.6, ,45, ,9.7, 
6,Davis,Sacramento Valley,1/2/2016,1200,002,0.00, ,871, ,4.1, ,45.1, ,40, ,10.8, 
6,Davis,Sacramento Valley,1/2/2016,1300,002,0.00, ,846, ,4.4, ,47.8, ,39, ,10.2, 
